1001;1001;5
1001;1002;1
1001;1003;2
1001;1004;1
1001;1005;10
1001;1006;15
1001;1007;20
1001;1008;0
1001;1009;0
1001;1010;5
1001;1011;2
1001;1012;7
1002;1001;4
1002;1002;3
1002;1003;5
1002;1004;2
1002;1005;7
1002;1006;30
1002;1007;40
1002;1008;6
1002;1009;1
1002;1010;8
1002;1011;4
1002;1012;1
1003;1001;77
1003;1002;20
1003;1003;26
1003;1004;10
1003;1005;111
1003;1006;60
1003;1007;150
1003;1008;27
1003;1009;9
1003;1010;28
1003;1011;13
1003;1012;87
1004;1001;10
1004;1002;0
1004;1003;0
1004;1004;0
1004;1005;12
1004;1006;0
1004;1007;0
1004;1008;0
1004;1009;0
1004;1010;5
1004;1011;4
1004;1012;3
1005;1001;0
1005;1002;0
1005;1003;0
1005;1004;0
1005;1005;0
1005;1006;0
1005;1007;0
1005;1008;0
1005;1009;0
1005;1010;0
1005;1011;0
1005;1012;0
1006;1001;3
1006;1002;1
1006;1003;2
1006;1004;1
1006;1005;3
1006;1006;5
1006;1007;10
1006;1008;0
1006;1009;0
1006;1010;2
1006;1011;1
1006;1012;2
1007;1001;5
1007;1002;0
1007;1003;1
1007;1004;1
1007;1005;8
1007;1006;0
1007;1007;15
1007;1008;1
1007;1009;0
1007;1010;3
1007;1011;1
1007;1012;13
1008;1001;0
1008;1002;0
1008;1003;0
1008;1004;0
1008;1005;0
1008;1006;0
1008;1007;0
1008;1008;0
1008;1009;0
1008;1010;0
1008;1011;0
1008;1012;0
1010;1001;0
1010;1002;0
1010;1003;0
1010;1004;0
1010;1005;0
1010;1006;0
1010;1007;0
1010;1008;0
1010;1009;0
1010;1010;0
1010;1011;0
1010;1012;0
